类别 	产品小类 	性质、用途、功效 	适用农作物 												
Nufarm  Services  (Singapore) Pte Ltd 	公司与 NUFARM 的业务合作开始于 2006 年。在当时全球草甘膦供应逐步紧张的背景下，NUFARM 集团负责全球采购业务的经理及上海办事处相关人员前来公司生产工厂进行拜访，洽谈草甘膦产品的采购事宜，在经过对公司全面考察及评估后，双方确立了合作关系，以供应草甘膦产品为主。 随着合作地深入，除草甘膦产品外，双方陆续开展在 2,4-D,  莠去津、西玛津等产品领域的合作，在 2011 年之前公司一直通过农药产品传统出口模式向该客户进行销售。 2011 年之后，随着公司在阿根廷取得农药产品自主登记，同时NUFARM 在阿根廷拥有成熟的业务团队，但拥有的农药产品登记数量较少，市场拓展存在瓶颈。公司获得的产品登记恰好满足对方的需求，通过与公司合作能够迅速扩充、丰富其产品线，在互利共赢的背景下，双方合作的深度和广度快速提升。凭借拥有的农药产品登记证，公司在阿根廷市场开始通过农药产品境外自主登记模式向 NUFARM 进行销售。 其后，伴随公司境外农药产品自主登记范围的扩大及数量的增加，双方也将农药产品境外自主登记的合作模式拓展至新西兰、澳大利亚、哥伦比亚、墨西哥、巴西等国家市场，业务规模快速增长。 														
Nufarm  Services  (Singapore) Pte Ltd 	公司与 NUFARM 的业务合作开始于 2006 年。在当时全球草甘膦供应逐步紧张的背景下，NUFARM 集团负责全球采购业务的经理及上海办事处相关人员前来公司生产工厂进行拜访，洽谈草甘膦产品的采购事宜，在经过对公司全面考察及评估后，双方确立了合作关系，以供应草甘膦产品为主。 随着合作地深入，除草甘膦产品外，双方陆续开展在 2,4-D,  莠去津、西玛津等产品领域的合作，在 2011 年之前公司一直通过农药产品传统出口模式向该客户进行销售。 2011 年之后，随着公司在阿根廷取得农药产品自主登记，同时NUFARM 在阿根廷拥有成熟的业务团队，但拥有的农药产品登记数量较少，市场拓展存在瓶颈。公司获得的产品登记恰好满足对方的需求，通过与公司合作能够迅速扩充、丰富其产品线，在互利共赢的背景下，双方合作的深度和广度快速提升。凭借拥有的农药产品登记证，公司在阿根廷市场开始通过农药产品境外自主登记模式向 NUFARM 进行销售。 其后，伴随公司境外农药产品自主登记范围的扩大及数量的增加，双方也将农药产品境外自主登记的合作模式拓展至新西兰、澳大利亚、哥伦比亚、墨西哥、巴西等国家市场，业务规模快速增长。 														
ADAMA AUSTRALIA PTY LIMITED 	ADAMA 是全球领先的提供非专利类农作物保护综合解决方案的跨国公司，公司和 ADAMA 的合作始于和其澳大利亚子公司 ADAMA AUSTRALIA PTY LIMITED 的合作。2007 年，为开拓市场，公司相关业务人员前往澳大利亚逐一拜访该国的主要农化企业，从而与 ADAMA AUSTRALIA PTY LIMITED 正式开始进行业务合作。同时，鉴于 ADAMA新西兰子公司 ADAMA NEW ZEALAND PTY LIMITED 的采购业务同样由 ADAMA  AUSTRALIA  PTY  LIMITED 的采购团队负责，公司在与	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
ADAMA AUSTRALIA PTY LIMITED 	ADAMA 是全球领先的提供非专利类农作物保护综合解决方案的跨国公司，公司和 ADAMA 的合作始于和其澳大利亚子公司 ADAMA AUSTRALIA PTY LIMITED 的合作。2007 年，为开拓市场，公司相关业务人员前往澳大利亚逐一拜访该国的主要农化企业，从而与 ADAMA AUSTRALIA PTY LIMITED 正式开始进行业务合作。同时，鉴于 ADAMA新西兰子公司 ADAMA NEW ZEALAND PTY LIMITED 的采购业务同样由 ADAMA  AUSTRALIA  PTY  LIMITED 的采购团队负责，公司在与	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
ADAMA BRASIL S/A 	ADAMA 是全球领先的提供非专利类农作物保护综合解决方案的跨国公司，公司和 ADAMA 的合作始于和其澳大利亚子公司 ADAMA AUSTRALIA PTY LIMITED 的合作。2007 年，为开拓市场，公司相关业务人员前往澳大利亚逐一拜访该国的主要农化企业，从而与 ADAMA AUSTRALIA PTY LIMITED 正式开始进行业务合作。同时，鉴于 ADAMA新西兰子公司 ADAMA NEW ZEALAND PTY LIMITED 的采购业务同样由 ADAMA  AUSTRALIA  PTY  LIMITED 的采购团队负责，公司在与	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
ADAMA BRASIL S/A 	ADAMA 是全球领先的提供非专利类农作物保护综合解决方案的跨国公司，公司和 ADAMA 的合作始于和其澳大利亚子公司 ADAMA AUSTRALIA PTY LIMITED 的合作。2007 年，为开拓市场，公司相关业务人员前往澳大利亚逐一拜访该国的主要农化企业，从而与 ADAMA AUSTRALIA PTY LIMITED 正式开始进行业务合作。同时，鉴于 ADAMA新西兰子公司 ADAMA NEW ZEALAND PTY LIMITED 的采购业务同样由 ADAMA  AUSTRALIA  PTY  LIMITED 的采购团队负责，公司在与	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
ADAMA ARGENTINA S.A. 	ADAMA 是全球领先的提供非专利类农作物保护综合解决方案的跨国公司，公司和 ADAMA 的合作始于和其澳大利亚子公司 ADAMA AUSTRALIA PTY LIMITED 的合作。2007 年，为开拓市场，公司相关业务人员前往澳大利亚逐一拜访该国的主要农化企业，从而与 ADAMA AUSTRALIA PTY LIMITED 正式开始进行业务合作。同时，鉴于 ADAMA新西兰子公司 ADAMA NEW ZEALAND PTY LIMITED 的采购业务同样由 ADAMA  AUSTRALIA  PTY  LIMITED 的采购团队负责，公司在与	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
ADAMA ARGENTINA S.A. 	ADAMA 是全球领先的提供非专利类农作物保护综合解决方案的跨国公司，公司和 ADAMA 的合作始于和其澳大利亚子公司 ADAMA AUSTRALIA PTY LIMITED 的合作。2007 年，为开拓市场，公司相关业务人员前往澳大利亚逐一拜访该国的主要农化企业，从而与 ADAMA AUSTRALIA PTY LIMITED 正式开始进行业务合作。同时，鉴于 ADAMA新西兰子公司 ADAMA NEW ZEALAND PTY LIMITED 的采购业务同样由 ADAMA  AUSTRALIA  PTY  LIMITED 的采购团队负责，公司在与	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
															
ADAMA  NEW  ZEALAND  PTY LIMITED 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
ADAMA Agan LTD. 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
ADAMA Agan LTD. 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
CONTROL SOLUTIONS INC 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
CONTROL SOLUTIONS INC 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
ADAMA  CROP  SOLUTIONS ACC, S.A. 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
ADAMA  CROP  SOLUTIONS ACC, S.A. 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
ALLIGARE LLC 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
ALLIGARE LLC 	ADAMA AUSTRALIA PTY LIMITED 开展业务的基础上开始为 ADAMA NEW ZEALAND PTY LIMITED 提供产品，双方的合作不断扩大。 在公司于 2014 年末及 2015 年在巴西登记取得多项市场前景较好的农药产品登记后，基于巴西广阔的市场空间，公司在巴西市场与ADAMA 巴西子公司 ADAMA BRASIL S/A 的业务规模出现爆发式增长。 随着双方合作的深入，2016 年，受 ADAMA 美洲区域经理的邀请，公司相关人员前往其位于美国迈阿密的美洲总部与 ADAMA 美洲区域的诸多子公司负责人进行全面合作洽谈，并于 2017 年起与 ADAMA 集团的美国子公司 CONTROL SOLUTIONS INC、ALLIGARELLC 以及坐落于以色列的 ADAMA AGAN LTD.开展业务合作。 														
TECHNO FARM CORP 	TECHNO FARM CORP 主要面向委内瑞拉市场进行销售，而委内瑞拉的农化市场格局较为特殊，自 2014 年 2 月起委内瑞拉成立国家外贸公司（CORPOVEX），该外贸公司由当时承担进口职能的部分该国国营企业组成，其中包括农业部下属进口公司 AGROPATRIA，所有委内瑞拉所需的农化产品进口业务均由 AGROPATRIA 独家进行。 TECHNO FARM CORP 的业务团队一直深耕委内瑞拉市场，与独家垄断委内瑞拉农化产品进口业务的 AGROPATRIA 具有良好的合作关系，近几年来该公司几乎成为了 AGROPATRIA 农化产品的独家供应商。 TECHNO FARM CORP 在与公司合作以前，其农化产品的主要的供应商包括利民股份（证券代码：002734）、浙江泰达作物科技有限公司以及 ADAMA、德国 HELM 集团、美国 Drexel 化工公司等。鉴于公司在中国农药出口领域的领先地位以及在全球农化行业不断提升的知名度，TECHNO  FARM  CORP 的采购负责人 Mr.  Patrick  Gibbons 于2016 年 8 月主动通过电子邮件向公司发来合作意向信息，并于当月前来公司生产基地进行考察，经过充分的沟通与洽谈后双方建立起业务联系和合作关系，并自 2017 年正式向公司采购产品。 	贸易型 	农药产品传统出口模式 												
TECHNO FARM CORP 	TECHNO FARM CORP 主要面向委内瑞拉市场进行销售，而委内瑞拉的农化市场格局较为特殊，自 2014 年 2 月起委内瑞拉成立国家外贸公司（CORPOVEX），该外贸公司由当时承担进口职能的部分该国国营企业组成，其中包括农业部下属进口公司 AGROPATRIA，所有委内瑞拉所需的农化产品进口业务均由 AGROPATRIA 独家进行。 TECHNO FARM CORP 的业务团队一直深耕委内瑞拉市场，与独家垄断委内瑞拉农化产品进口业务的 AGROPATRIA 具有良好的合作关系，近几年来该公司几乎成为了 AGROPATRIA 农化产品的独家供应商。 TECHNO FARM CORP 在与公司合作以前，其农化产品的主要的供应商包括利民股份（证券代码：002734）、浙江泰达作物科技有限公司以及 ADAMA、德国 HELM 集团、美国 Drexel 化工公司等。鉴于公司在中国农药出口领域的领先地位以及在全球农化行业不断提升的知名度，TECHNO  FARM  CORP 的采购负责人 Mr.  Patrick  Gibbons 于2016 年 8 月主动通过电子邮件向公司发来合作意向信息，并于当月前来公司生产基地进行考察，经过充分的沟通与洽谈后双方建立起业务联系和合作关系，并自 2017 年正式向公司采购产品。 	贸易型 	农药产品传统出口模式 												
															
5 	DU PONT DO BRASIL S.A. 	杜邦是一家以科研为基础的全球性企业，于 2017 年 8 月 31 日与陶氏化学成功完成对等合并，合并后的实体为一家控股公司，名称为“陶氏杜邦”，并成为全球最大的化工企业。 公司和该客户的业务合作始于 2010 年。最初其阿根廷子公司DU-PONT  ARGENTINA  SRL 为丰富产品线而寻找合适的草甘膦颗粒剂产品供应商，经 Nufarm 阿根廷子公司负责人推荐（公司和 Nufarm阿根廷子公司在草甘膦颗粒剂产品领域已有合作，且其对公司产品品质和服务非常认可），并基于公司在阿根廷拥有的相关产品自主登记，公司与 DU-PONT  ARGENTINA  SRL 在草甘膦颗粒剂产品方面开展了合作。 借助于该客户在阿根廷市场强大的渠道、团队以及品牌优势，相关产品成功推向市场并迅速获得了可观的市场份额。 在获得巴西草甘膦颗粒剂的登记后，公司于 2016 年开始与杜邦的巴西子公司 DU PONT DO BRASIL S.A.开展合作，也获得了良好的市场反应。 	生产型 	农药产品境外自主登记模式 											
5 	DU-PONT ARGENTINA SRL 	杜邦是一家以科研为基础的全球性企业，于 2017 年 8 月 31 日与陶氏化学成功完成对等合并，合并后的实体为一家控股公司，名称为“陶氏杜邦”，并成为全球最大的化工企业。 公司和该客户的业务合作始于 2010 年。最初其阿根廷子公司DU-PONT  ARGENTINA  SRL 为丰富产品线而寻找合适的草甘膦颗粒剂产品供应商，经 Nufarm 阿根廷子公司负责人推荐（公司和 Nufarm阿根廷子公司在草甘膦颗粒剂产品领域已有合作，且其对公司产品品质和服务非常认可），并基于公司在阿根廷拥有的相关产品自主登记，公司与 DU-PONT  ARGENTINA  SRL 在草甘膦颗粒剂产品方面开展了合作。 借助于该客户在阿根廷市场强大的渠道、团队以及品牌优势，相关产品成功推向市场并迅速获得了可观的市场份额。 在获得巴西草甘膦颗粒剂的登记后，公司于 2016 年开始与杜邦的巴西子公司 DU PONT DO BRASIL S.A.开展合作，也获得了良好的市场反应。 	生产型 	农药产品境外自主登记模式 											
5 	DU-PONT ARGENTINA SRL 	杜邦是一家以科研为基础的全球性企业，于 2017 年 8 月 31 日与陶氏化学成功完成对等合并，合并后的实体为一家控股公司，名称为“陶氏杜邦”，并成为全球最大的化工企业。 公司和该客户的业务合作始于 2010 年。最初其阿根廷子公司DU-PONT  ARGENTINA  SRL 为丰富产品线而寻找合适的草甘膦颗粒剂产品供应商，经 Nufarm 阿根廷子公司负责人推荐（公司和 Nufarm阿根廷子公司在草甘膦颗粒剂产品领域已有合作，且其对公司产品品质和服务非常认可），并基于公司在阿根廷拥有的相关产品自主登记，公司与 DU-PONT  ARGENTINA  SRL 在草甘膦颗粒剂产品方面开展了合作。 借助于该客户在阿根廷市场强大的渠道、团队以及品牌优势，相关产品成功推向市场并迅速获得了可观的市场份额。 在获得巴西草甘膦颗粒剂的登记后，公司于 2016 年开始与杜邦的巴西子公司 DU PONT DO BRASIL S.A.开展合作，也获得了良好的市场反应。 	生产型 	农药产品境外自主登记模式 											
6 	AGROFINA S.A. 	LOS  GROBO 集团是巴西以及整个拉丁美洲区域领先的农业综合及投资企业，是南美区域最大的谷物加工贸易和农资服务商之一。AGROFINA  S.A.和 LOS  GROBO  AGROPECUARIA  S.A.均是 LOS GROBO 集团的子公司，前者专注于提供高附加值的植保产品，后者主要业务涵盖谷物贸易、仓储、运输及农化产品的销售。 公司与该客户的业务接触始于 2010 年。当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获悉相关产品登记信息后，主动联系公司就其感兴趣的部分产品洽谈合作，公司自此开始了和该客户的业务合作。 	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 											
6 	AGROFINA S.A. 	LOS  GROBO 集团是巴西以及整个拉丁美洲区域领先的农业综合及投资企业，是南美区域最大的谷物加工贸易和农资服务商之一。AGROFINA  S.A.和 LOS  GROBO  AGROPECUARIA  S.A.均是 LOS GROBO 集团的子公司，前者专注于提供高附加值的植保产品，后者主要业务涵盖谷物贸易、仓储、运输及农化产品的销售。 公司与该客户的业务接触始于 2010 年。当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获悉相关产品登记信息后，主动联系公司就其感兴趣的部分产品洽谈合作，公司自此开始了和该客户的业务合作。 	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 											
6 	LOS  GROBO AGROPECUARIA S.A. 	LOS  GROBO 集团是巴西以及整个拉丁美洲区域领先的农业综合及投资企业，是南美区域最大的谷物加工贸易和农资服务商之一。AGROFINA  S.A.和 LOS  GROBO  AGROPECUARIA  S.A.均是 LOS GROBO 集团的子公司，前者专注于提供高附加值的植保产品，后者主要业务涵盖谷物贸易、仓储、运输及农化产品的销售。 公司与该客户的业务接触始于 2010 年。当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获悉相关产品登记信息后，主动联系公司就其感兴趣的部分产品洽谈合作，公司自此开始了和该客户的业务合作。 	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 											
6 	LOS  GROBO AGROPECUARIA S.A. 	LOS  GROBO 集团是巴西以及整个拉丁美洲区域领先的农业综合及投资企业，是南美区域最大的谷物加工贸易和农资服务商之一。AGROFINA  S.A.和 LOS  GROBO  AGROPECUARIA  S.A.均是 LOS GROBO 集团的子公司，前者专注于提供高附加值的植保产品，后者主要业务涵盖谷物贸易、仓储、运输及农化产品的销售。 公司与该客户的业务接触始于 2010 年。当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获悉相关产品登记信息后，主动联系公司就其感兴趣的部分产品洽谈合作，公司自此开始了和该客户的业务合作。 	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 											
															
7 	MOLINO  CANUELAS S.A.C.I.F.I.A. 	MOLINO  CANUELAS  S.A.C.I.F.I.A.创始于 1931 年，总部位于阿根廷布宜诺斯艾利斯，其业务领域主要包括食品、谷物加工和贸易以及农资分销，其中农资分销业务由子公司 COMPANIA  ARGENTINA  DE GRANOS S.A 负责运营。 公司和 COMPANIA ARGENTINA DE GRANOS S.A 的业务接触始于 2009 年，系通过阿根廷代理公司 SIGMA 牵线促成的业务合作（彼时 SIGMA 代理公司和阿根廷四个经销商层级客户的业务合作）。该客户属于经销商层级，基于其遍布全国的 100 多家自有门店的网络优势以及公司在阿根廷拥有的丰富产品登记优势，公司与该客户的业务规模快速上升。 自 2017 年开始，根据该客户的业务架构调整，所有业务开始转由MOLINO CANUELAS S.A.C.I.F.I.A.承接。 	贸易型 	农药产品传统出口模式、农药产品境外自主登记模式 											
7 	COMPANIA  ARGENTINA  DE GRANOS S.A 	MOLINO  CANUELAS  S.A.C.I.F.I.A.创始于 1931 年，总部位于阿根廷布宜诺斯艾利斯，其业务领域主要包括食品、谷物加工和贸易以及农资分销，其中农资分销业务由子公司 COMPANIA  ARGENTINA  DE GRANOS S.A 负责运营。 公司和 COMPANIA ARGENTINA DE GRANOS S.A 的业务接触始于 2009 年，系通过阿根廷代理公司 SIGMA 牵线促成的业务合作（彼时 SIGMA 代理公司和阿根廷四个经销商层级客户的业务合作）。该客户属于经销商层级，基于其遍布全国的 100 多家自有门店的网络优势以及公司在阿根廷拥有的丰富产品登记优势，公司与该客户的业务规模快速上升。 自 2017 年开始，根据该客户的业务架构调整，所有业务开始转由MOLINO CANUELAS S.A.C.I.F.I.A.承接。 	贸易型 	农药产品传统出口模式、农药产品境外自主登记模式 											
7 	COMPANIA  ARGENTINA  DE GRANOS S.A 	MOLINO  CANUELAS  S.A.C.I.F.I.A.创始于 1931 年，总部位于阿根廷布宜诺斯艾利斯，其业务领域主要包括食品、谷物加工和贸易以及农资分销，其中农资分销业务由子公司 COMPANIA  ARGENTINA  DE GRANOS S.A 负责运营。 公司和 COMPANIA ARGENTINA DE GRANOS S.A 的业务接触始于 2009 年，系通过阿根廷代理公司 SIGMA 牵线促成的业务合作（彼时 SIGMA 代理公司和阿根廷四个经销商层级客户的业务合作）。该客户属于经销商层级，基于其遍布全国的 100 多家自有门店的网络优势以及公司在阿根廷拥有的丰富产品登记优势，公司与该客户的业务规模快速上升。 自 2017 年开始，根据该客户的业务架构调整，所有业务开始转由MOLINO CANUELAS S.A.C.I.F.I.A.承接。 	贸易型 	农药产品传统出口模式、农药产品境外自主登记模式 											
8 	VILLA  CROP  PROTECTION (PTY) LTD 	该客户成立于 1989 年，在南非以及周边南部非洲市场进行农化产品的加工和分销，在南非市场占据大约 20%的市场份额。 公司和该客户的业务合作始于 2008 年，当时公司会同中国五矿化工商会前往南非进行市场考察并拜访了当地市场主要农化企业，从而与该客户接触并开始合作。 2010 年，南非加强对于农药产品登记以及进口的监管，要求所有进口商必须从农药产品登记上记载的登记货源地（即供应商）处采购，在上述期间，公司积极支持该客户将公司登记为其大多数产品的供应商，使得公司和该客户的合作关系更为紧密。 	生产型 	农药产品传统出口模式 											
8 	VILLA  CROP  PROTECTION (PTY) LTD 	该客户成立于 1989 年，在南非以及周边南部非洲市场进行农化产品的加工和分销，在南非市场占据大约 20%的市场份额。 公司和该客户的业务合作始于 2008 年，当时公司会同中国五矿化工商会前往南非进行市场考察并拜访了当地市场主要农化企业，从而与该客户接触并开始合作。 2010 年，南非加强对于农药产品登记以及进口的监管，要求所有进口商必须从农药产品登记上记载的登记货源地（即供应商）处采购，在上述期间，公司积极支持该客户将公司登记为其大多数产品的供应商，使得公司和该客户的合作关系更为紧密。 	生产型 	农药产品传统出口模式 											
9 	AGROSERVICIOS PAMPEANOS S.A. 	该客户是加拿大 Agrium 集团旗下的阿根廷子公司，Agrium 集团是在纽交所上市公司（纽交所代码: AGU），主要业务为农资品的供应和经销。 公司和该客户的业务接触始于 2010 年。当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 											
9 	AGROSERVICIOS PAMPEANOS S.A. 	该客户是加拿大 Agrium 集团旗下的阿根廷子公司，Agrium 集团是在纽交所上市公司（纽交所代码: AGU），主要业务为农资品的供应和经销。 公司和该客户的业务接触始于 2010 年。当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 											
															
悉相关产品登记信息后，主动联系公司就其感兴趣的部分产品洽谈合作，公司自此开始了和该客户的业务合作。 借助于在阿根廷广泛的经销网络覆盖和专业高效的团队，该客户在产品推广与营销方面具有较强的市场竞争优势，配合公司在阿根廷日益增加的产品登记，双方的业务规模快速增长。 															
润丰泰国系主要为配合公司更好地开拓泰国市场而设立。作为公司重要的区域市场之一，公司在泰国市场一般向客户直接销售农药产品，但对于客户不能直接向公司进口的农药产品（即该客户未拥有该产品的进口登记证），如润丰泰国拥有该农药产品的进口登记证，则一般由公司首先销售给润丰泰国，然后由润丰泰国再销售给该客户，从而大大增加了公司产品在泰国市场的竞争力。润丰泰国在业务上对公司有较大依赖。2012 年以前，润丰泰国由于尚未取得农药登记证，因而未实际经营业务，随着 2012 年后润丰泰国陆续取得有关农药登记证及公司在泰国销售规模的增加，其经营状况逐步向好，销售规模呈逐步增大的趋势。为减少关联交易，2017 年 2 月公司完成了对润丰泰国的收购。 	贸易型 	农药产品传统出口模式 													
润丰泰国系主要为配合公司更好地开拓泰国市场而设立。作为公司重要的区域市场之一，公司在泰国市场一般向客户直接销售农药产品，但对于客户不能直接向公司进口的农药产品（即该客户未拥有该产品的进口登记证），如润丰泰国拥有该农药产品的进口登记证，则一般由公司首先销售给润丰泰国，然后由润丰泰国再销售给该客户，从而大大增加了公司产品在泰国市场的竞争力。润丰泰国在业务上对公司有较大依赖。2012 年以前，润丰泰国由于尚未取得农药登记证，因而未实际经营业务，随着 2012 年后润丰泰国陆续取得有关农药登记证及公司在泰国销售规模的增加，其经营状况逐步向好，销售规模呈逐步增大的趋势。为减少关联交易，2017 年 2 月公司完成了对润丰泰国的收购。 	贸易型 	农药产品传统出口模式 													
该客户位于澳大利亚，公司和该客户的接触始于 2007 年，当时，公司相关销售人员前往澳大利亚逐一拜访该国的主要农化企业，在初步接触后，该客户于当年前来中国参观公司生产基地后正式开始了业务合作。 	贸易型 	农药产品传统出口模式、农药产品境外自主登记模式 													
该客户位于澳大利亚，公司和该客户的接触始于 2007 年，当时，公司相关销售人员前往澳大利亚逐一拜访该国的主要农化企业，在初步接触后，该客户于当年前来中国参观公司生产基地后正式开始了业务合作。 	贸易型 	农药产品传统出口模式、农药产品境外自主登记模式 													
